userName,content,score,thumbsUpCount,at
kamal kamal adi pasah,"untuk barang retur karena kesalahan penjual bisa di balikin tp pake ongkir ditanggung sendiri,beda sama toko sebelah ada pick up, akhirnya ikhlasin aja dah duit melayang barang gbsa dipake ngurus in balikin ke pengirim makan waktu",1,0,2025-05-31 17:31:28
Rimuru Cwan,"Saya top up saldo e toll malah gak masuk². Tolong kembalikan, sama biaya admin pokonya kembalikan. Dalam 1x24 jam ( sejak jam 16.10 tanggal 31 mey 2025 ) tidak ditanggapi apapun maka akan saya spam bintang 1. Mohon penjelasannya",1,0,2025-05-31 17:26:34
Priomo Munif,menjelajah nusantara,5,0,2025-05-31 17:23:16
Nuril Mubiin Karuniawan,marketplace local langgananku. mantapp,5,0,2025-05-31 17:18:58
Feri Yazeed,Membantu untuk pembelian produk yg di butuhkan,5,0,2025-05-31 17:13:47
Aloysius A. Adyatama,ongkir ga ngotak 80k jadi 150k lagi jakarta-semarang lagi di sebelah cuma 4k,1,0,2025-05-31 17:06:18
Unknown9,"AMPAS BERKALI KALI PAKET UDAH TIBA DI LOKASI,TAPI PASTI AJA DI KEMBALIIN KE GUDANG PADAHAL ALAMAT UDAH JELASSS BANGET!!!",1,0,2025-05-31 16:45:45
Fajar Dirgantoro,Kenapa sekarang gak ada gratis ongkir lagi?,1,0,2025-05-31 16:39:46
Hari Setiawan,aplikasi lemot loading lama padahal sinyal udah bagus,2,0,2025-05-31 16:38:27
ryan saputra,"lebih bagus shope, kontak resmi ga ada. mau ngajuin keluhan di tolak terus saya ketipi 500rb. payah bener2 payah. aplikasi mewadahi penipu.",1,0,2025-05-31 16:36:56
ACUS MOTOVLOG,"Aplikasi Belanja Online Terbaik! Saya sudah menggunakan Tokopedia selama beberapa tahun dan selalu puas dengan pelayanannya. Aplikasinya mudah digunakan, tampilannya menarik, dan sangat lengkap. Mulai dari kebutuhan rumah tangga, elektronik, hingga pulsa dan tagihan semua bisa dibayar di sini. Pengiriman cepat dan customer service-nya juga sangat responsif. Sangat membantu banget, terutama saat butuh belanja cepat tanpa harus keluar rumah. Terima kasih",5,69,2025-05-31 16:26:36
Al Faribi,sistim COD sama BAYAR DULUAN SAMA SAJA PENGIRIMAN NYA LELET BANGET.,1,0,2025-05-31 16:18:20
Gilang Gilang,riwayat chat gak bisa di hapus,1,0,2025-05-31 16:07:24
dwiter badai,mudah pilihan pembayaran nya,5,0,2025-05-31 16:05:11
Hadi Purnomo,lama banget paket gua sampe nya 2 paket apa 3paket yang lama,2,0,2025-05-31 16:03:03
LayLa Khoriawati,jelek,1,0,2025-05-31 15:49:54
Marihot robinson,ok,5,0,2025-05-31 15:40:01
Ekah Jaya,good,5,0,2025-05-31 15:32:14
ridwaan maulana adnan,thanks Tokoepdia berapa tahun ini aplikasi Tokopedia sangat membantu bangat bagi kehidupan saya dan keluarga saya.. karna terbantu sekali ada nya Gopay Later..maju dan jaya terus Tokopedia. tapi sayang saya tidak pernah di setujui Gopay Pinjam.,5,0,2025-05-31 15:30:00
Wira Adhi,mudah cepat,5,0,2025-05-31 15:13:31
Rosalina Djumali,lancar,5,0,2025-05-31 15:01:59
Erri Andi,"saya mengapresiasi jika kurir bisa dinilai oleh pembeli, karena banyak kurir yang kurang baik dalam mengantarkan barang, seperti main lempar atau taruh paket diluar pagar yg rawan diambil orang asing",4,0,2025-05-31 14:36:59
Andromeda Tesalonika,"tulisan nya pengembalian dana udh selesai pas di liat dana nya blm masuk,hst customer service ga di bales 😮‍💨",1,1,2025-05-31 14:14:43
Raden Selullar,gratis ongkirny kok hilang ga ada lagi,1,0,2025-05-31 14:13:33
arifan ramadhan,"sudah bagus tapi satu menurutku yang kurang, sistem pelacakan barang tidak up to date, jadi kita tidak tau barang sebenarnya masih ada dimana, tau-tau barang sudah sampai tanpa dikira-kira. Ini yang menjadi kurang dibandingkan sistem pelacakan barang dari Shopee yang akurat dan up to date",4,0,2025-05-31 14:12:24
irhan marpid,barang sering sampai diluar estimasi pengiriman.. terus ga ada kompensasi kaya Shopee,2,0,2025-05-31 13:34:53
Madis ENTERTAINMENT,Uang saya terebenam barang tdk sampai dari tgl 8 mei kemarin sampai sekarang dan tanggapan dari Tokopedia Penanganan sangat lambat,1,0,2025-05-31 13:32:45
Kevin Sas Hanggara,"Update terbarunya semakin banyak error, gagal melakukan pembayaran, pembatalan transaksi, dan semakin lambat.",5,1,2025-05-31 13:28:47
Suci Utami,membantu banget,5,0,2025-05-31 13:26:58
Zul Fikri,beres,5,0,2025-05-31 13:20:28
Almaidi Haris,apl bodoh,1,0,2025-05-31 13:12:42
Mochamad Nahnu,oke,5,0,2025-05-31 12:57:17
Akbar kay,Gx bgt bagi Gopaylatter blom jatuh tempo sudah di telvonin terus menerus brisik dan menganggu,1,0,2025-05-31 12:50:01
Dina ryanti Gais,"ini kenapa yah pada ngelag? saya mau tanda tangan buat credit card eh ngk bisaa,,, jaringan udh baguss tetap ngk bisa, kenapa sihhh?",3,0,2025-05-31 12:29:12
One_ Vendy74,Bintang yg berbicara Sobat.... Trims,5,0,2025-05-31 12:23:11
Worvexz,Ngubah foto profil aja banyak aturan susah bangsad!!!,2,0,2025-05-31 12:20:39
Bambang Suwignyo,"Aplikasi belanja on-line yg mudah digunakan, aman, dan nyaman",5,0,2025-05-31 12:06:24
Hadi Prastowo,"keren Top memang belanja di Tokopedia kita bayar cash di gerai indomart,alfamart dan kalau stok barangnya habis,uang kita tidak hilang,tapi masuk disimpan di saldo kita 👍👍👍... wah luarbiasa Tokopedia,makasih Tokopedia ya dan... sukses selalu...👌👌👌",5,2,2025-05-31 11:54:43
TEDY AHADIROHMAN,baik,5,0,2025-05-31 11:41:40
Albert Chu,"Aplikasi super buruk, TokopediaCare tidak membantu sama sekali. Saat du chat kembali setelah buat kartu pengajuan, CS tidak ada respon sama sekali. Padahal masalah penting, pembayaran sudah dilakukan untuk top up kartu e money, tetapi saat update saldo malah gagal dan tidak bisa update saldo lagi, bahkan saldonya tidak ada masuk sama sekali. SANGAT BURUK DAN KECEWA.",1,0,2025-05-31 11:35:14
IRMAN. 0511,"order barang kali ini yang paling parah!!!! barang di order tgl 17 dan di kirim sama penjual tgl 17 juga, masa iya sampai sekarang belum kunjung tiba.... tolonglah,,,, estimasi tibanya apa gunanya????",1,0,2025-05-31 11:29:06
Nurul Fazillah,sangat baik,5,0,2025-05-31 11:04:31
Napi Hanapi,ulasan buruk Tokopedia isi etol bni enggak masuk² ini udah yang ke 3 kalinya,1,0,2025-05-31 11:00:49
Patih Gendut BomBom Channel (Boém),"mudah buat belanja gak kaya toko sebelah, ribet minta ambyar",5,0,2025-05-31 10:36:51
Tri Hadi Kurniawan,"Berharap ongkir Rp. 0,- tanpa minimal belanja dan bisa request kurir tanpa rekomendasi² an, Belanjanya tidak bisa digabung dengan gopay coin jika kartu debitnya bukan visa, Pelayanan agar sedikit dipercepat proses komplain dan pengembalian dananya jika mengalami masalah, Fitur Diskusi agar diaktifkan kembali agar bisa jadi pertimbangan saat pembelian supaya mencegah penipuan, Terlalu banyak bug dan update.",2,65,2025-05-31 10:26:51
Wawan Deddy Setiawan,"pesanan kurir instant ,ini hari ke 3. ini dia: Hai Kak, pesanan Kakak saat ini masih menunggu update status dari pihak penjual, bisa tunggu dan cek berkala statusnya. Apabila kakak sudah melakukan pengajuan pembatalan, bisa hubungi penjual melalui fitur chat untuk merespon pengajuan pembatalannya. Tokopedia hanya bisa membantu pembatalan transaksi setelah ada kesepakatan penjual dan pembeli. Apabila penjual melebihi batas konfirmasi pengirimannya maka transaksi akan terbatalkan otomatis.",1,14,2025-05-31 10:20:02
ridwan jaelani,Mantap,5,0,2025-05-31 10:12:45
J Jomo,bagus sekali,5,0,2025-05-31 10:06:11
Raraducous Ehe,"udahh baguss,ditunggu fitur bayar qris bisa pake gopaylater,soalnya kadang disuruh mendadak bayar patungan pas makan bareng weh",4,0,2025-05-31 09:50:29
Ibadika Solihin,ini tokped gimana ya saya kan jual barang tanpa diskon tapi kok didiskon 10% dari mana ya mohon di tanggapi,2,0,2025-05-31 09:49:06
Baiq Zaitun Apriani,"saya sangat kecewa dg Tokopedia, sy pilih expedisi jnt karna dekat dg rumah, tp kenapa dr Tokopedia paket dihandover ke lion parcel? alhasil paket 2 Minggu Tdk sampai kerumah sy. sy sangat kecewa.",1,0,2025-05-31 09:48:24
Imam Roviki,"ongkirnya mahal, mending di shop33 gratis",2,1,2025-05-31 09:46:13
Tri Budi Santoso,mantap terus tingkatkan,5,0,2025-05-31 09:45:11
mr. woyo89,"banyak penipu di sini, namun tidak ada tindakan dri pihak tokped.",1,0,2025-05-31 09:43:18
Hera Hera,Toko pedia perusahaan besar dan sudah dikenal orang 🙏🌹🌹🌹🇮🇩,5,0,2025-05-31 09:40:19
Cahya s.s,"kaga jelas aplikasinya,bikin bingung ada bug juga pas mau lacak paket Chet sama kurir ngk tau gimna caranya pesan 2 paket pas ku lacak ada pake bhs inggris pula bikin pusing ini aplikasi",1,0,2025-05-31 09:39:44
Hongky Bramanda,kurang gratis ongkir,1,0,2025-05-31 09:31:25
Aris Papanio,"saya terganggu dgn chat promo seller.. sdh diblokir & dimatikan settingan chat promo tp masih terima chat promo.. dan kenapa chat tidak bisa dihapus? menuh2in inbox aja.. satu lagi, kok diskusi produk dimatikan? kan bermanfaat bagi konsumen.. MAKIN PAYAH KAU TOKOPEDIA",1,0,2025-05-31 08:56:23
Kusmiati AW313,"Tokopedia, kenapa toko sudah di blokir diterapkan di deskripsi,saya udah order udah transfer gak taunya tokonya bodong. gimana cara saya mau cancel kok gak bisa",2,0,2025-05-31 08:40:13
Vera Kristanti,tolong no kontak Mitra tokopedia kemana? tiba2 di akhiri? tokopedia care tidak bisa membantu saya...,5,0,2025-05-31 08:40:04
28-Beta Herlina Liderita-Jateng,👍,5,0,2025-05-31 08:39:21
ifa usman,selalu terpercaya,5,0,2025-05-31 08:38:14
julham polmed,mantap dan pelanggan setia nih,5,0,2025-05-31 08:22:46
Yunie Nuraeni,"Kenapa si setiap mau lihat pesanan sudh di jalan atau belum,loading lama bangt. Masa musti hapus download mulu baru bisa.",1,0,2025-05-31 07:50:05
Rohmatul Ulfa,"anda tidak akan menemukan pelayanan castemer servis manusia di aplikasi ini,,",1,9,2025-05-31 07:20:59
Said Umar,"kualitas barang yang di jual bagus dan baik sehingga memberikan kepuasan terhadap konsumen, semoga semakin berkembang menjadi lebih baik kedepannya.",5,0,2025-05-31 07:20:41
Budianto Atan,ok,5,0,2025-05-31 07:17:02
Andri “momo” Utomo,sangat membantu,5,0,2025-05-31 07:08:01
Deshi Risma,beli apapun disini pasti expedisi dilempar sana sini. gak jelaas ruwet,1,0,2025-05-31 06:39:46
Email Pribadi,sekarang tokped kalo dari jam malem sampe pagi ga bisa dibuka produk nya alah,1,1,2025-05-31 05:36:02
Sai Kuprut,"tokopedia sekarang jadi pelit diskon dan voucher, tidak kayak sebelum2nya masih banyak diskon dan voucher, ada apa tokopedia?.... MENDING BELI DI SHOPEE",1,0,2025-05-31 05:28:27
Bustanul 0054,"mancari produk yang di mau,,, harga ekonomis 🤗",5,0,2025-05-31 05:17:04
Roni Widayat,"Aplikasi berbelanja yg mudah, praktis & banyak promo",5,0,2025-05-31 04:57:50
Lapanov Sidharta,"Mitra Tokopedia sudah dihapus, dulu jualan Pulsa, PPOB, Token pakai Mitra Tokopedia bisa cetak struk. Sekarang pakai Tokopedia tidak bisa cetak struk. Tolong Tokopedia ditambah menu untuk cetak struk seperti pada Mitra Tokopedia.",3,0,2025-05-31 03:57:09
Prianto bintang Pamungkas (Yanto Jangkung),ok,5,0,2025-05-31 03:31:26
Tono Rahmat,oke,5,0,2025-05-31 02:14:39
Mekky Lasut,semoga barang barangnya sesuai dengan keinginan pembeli .,5,0,2025-05-31 01:55:26
Intel Ligen,ya amanah,4,0,2025-05-31 01:47:18
Akira Se,"tolong di perhatikan dari pihak ekspedisi nya dong, masa pesanan dari tanggal 26 barang sudah siap dikirimkan dari seller nya sampai tanggal 1 masih saja keterangannya menunggu kurir kapan sampai nya, padahal lagi di butuhkan banget barangnya. mau di batalkan juga udah gak bisa...",1,5,2025-05-31 01:32:53
Alfian Wahyu Setiyanto,Terlalu banyak gimmick promo yang ditampilkan Hanya disini pengiriman SAMEDAY bisa memakan waktu 2 hari Namanya juga SAMEDAY berarti BUKAN DIHARI YANG SAMA wakakaka,1,39,2025-05-31 01:17:50
Bayu Rachman,"jangan mau beli disini kalo ada masalah dana gak kembali full, ribet lama gak full lagi duitnya balik, jangan deh",1,1,2025-05-31 01:07:52
Aryadi Aquatic,tolong dong pembelian obat masak nunggu hari kerja baru di kirim beli obat itu untuk orang sakit butuh secepatnya malah nunggu hari kerja tolong klasifikasi barang mana yg urgensi perlu di kasih attention lebih dan mana yang bisa di pending,1,1,2025-05-31 01:07:01
Hafizh Ibrahim,bagus banget,5,0,2025-05-31 00:50:10
Presisi Kacamobil,"kami ada pengiriman barang, sudah chat ke cs tapi respon sangat amat tidak membantu dan cs tidak komunikatif. csnya seperti robot.",1,0,2025-05-31 00:21:51
hery setiawan17,kenapa saya tidak bisa login,5,0,2025-05-30 23:59:34
Hansye Willyams,bagus,5,0,2025-05-30 23:40:10
Miya Atsumu26,"Tokopediaa sekarang gajelas setelah gabung dengan tiktokshop, Nyusahin para seller👎 Beberapa fitur di hilangkan.",1,0,2025-05-30 23:31:40
Wahyu Prima,bagus,5,0,2025-05-30 23:11:14
Di No,Tokopedia TDK bisa masuk weshlist,5,2,2025-05-30 22:58:24
rian,aplikasi tolol ribet!,1,0,2025-05-30 22:54:04
Hamita BWS,dengan adanya tokopedia belanja mudah gak ribet 💪💪💪👍👍🙏🙏,5,0,2025-05-30 22:38:51
Andika Dika,kasih diskon min terlalu mahal🗿,4,0,2025-05-30 22:34:40
Wilkid Speed,kenapa penarikan dana ribet banget saya narik dana ke rekening sudah 2 hari blum masuk juga ?,1,0,2025-05-30 22:26:58
Eka Daryanto,kembalikan tokopedia seller kayak dulu lagi!!!!,1,0,2025-05-30 22:19:54
rudy setiawan,"saya pengguna aplikasi Mitra Tokopedia sangat kecewa krn aplikasi tersebut sdh tidak bs digunakan lagi dan dialihkan ke tokopodia yg mana aplikasi ini tidak bisa edit harga jualnya, aplikasi dijadikan satu malah gak bisa buat rubah harga, gmn mau jualan pulsa, token, dan tagihan lainnya..",2,14,2025-05-30 22:11:01
Jani 46,sangat bemantu,5,0,2025-05-30 22:09:00
Sedi Pc,payah ribet banget,1,1,2025-05-30 21:53:30
Andikaagung Adiwijaya26,ribet,5,0,2025-05-30 21:51:13
Sidrav Volton,"Terimakasih solusinya !! penjual mengirim barang 500 rupiah untuk orderan senilai 750 ribuan , indikasi penipuannya jelas. dan setelah sabar dengan prosesnya akhirnya pengembalian dana berhasil. Terimakasih tokopedia, ...",5,36,2025-05-30 21:47:28
Fadly Addiba,mantap,5,0,2025-05-30 20:39:00
Dani Purnawansyah,👍,5,0,2025-05-30 20:26:09
Mardiono Mardionodiono,bagus,5,0,2025-05-30 20:17:47
Gungun Sopian,sangat membantu,5,0,2025-05-30 19:56:21
Sin_ Tactis,SETIAP UPGRADE BERTAMBAH MEMBINGUNGKAN BAHKAN BERTAMBAH EROR..!! PESAN TELAH DIBACA NOTIFIKASI TIDAK HILANG HILANG + PESAN PEMBELI HILANG + MEMBLOKIR PELAPAK YG TIDAK JELAS BERJUALAN TIDAK BISA LAGE + MEMBATALKAN TRANSAKSI NUNGGU 3X24 JAM + JASA PENGANTAR PAKET TERLAMA MENGANTAR PAKET RECOMENDASI TOKOPEDIA YAITU JASA LION PARCEL & ID EXPRESS..!! INI APLIKASI HANYA MENGUNTUNGKAN DEVLOPER & PELAPAK & SANGAT MERUGIKAN WAKTU PEMBELI..! APLIKASI SAMPAH..!! KELEWAT PINTAR MENCIPTAKAN KEERRORAN..!!,1,376,2025-05-30 19:38:48
Yono Gestroyer,sampai saat ini memuaskan,5,0,2025-05-30 19:28:43
Jackjoe,Tokopedia mantap banyak bonus,5,0,2025-05-30 19:19:23
RNA_ 24,keren cepat dan lancar,4,0,2025-05-30 18:56:26
rikudou sennin,"mavia banget najis, Tokopedia x tiktok, potongan penarikan hasil jual produk gede banget,ajg",1,0,2025-05-30 18:54:01
Titib Suhendar,bagus,5,0,2025-05-30 18:49:15
Siti Rohmah,HargaY mahal ya skrng,3,0,2025-05-30 18:47:17
Agung Susilo,baru coba coba semoga gak ada kendala,4,0,2025-05-30 18:42:13
rostini banjarnahor,Tak ada fungsi nya,1,0,2025-05-30 17:30:37
Salman Paris,aku daftar affiliate ber x x gagal Mulu katanya ada gangguan sistem tolong dong di perbaiki,3,0,2025-05-30 17:20:30
Amal. Soepomo,topeng sangat mudah untuk belanja do online.👍🙏,5,0,2025-05-30 17:15:57
mze semas,voucher nya ga bisa dipake,2,0,2025-05-30 17:11:39
kids PRSi,lewat iklan saya trus mana lama lagi👊🙄,1,0,2025-05-30 17:08:11
Ajang Suhendaryana,tambahin pembayaran pakai qris,4,0,2025-05-30 17:05:55
Ervi,jangan update terus please,2,0,2025-05-30 17:03:37
Syarif Hidayatullah,"ongkirnya mahal semua, gak rekomen belanja di sini",1,0,2025-05-30 16:59:03
Arif Basuki,bagus,5,0,2025-05-30 16:50:39
Mas Dikno,Tokopedia oke,5,0,2025-05-30 16:32:00
M. DUL HADI Dul hadi,exselent,5,0,2025-05-30 16:21:06
Ajid jid,keren,5,0,2025-05-30 16:18:57
Kenzi Alhanafi,tidakkk baguss,1,1,2025-05-30 16:05:18
Agam Mahyudin,More than,5,0,2025-05-30 15:59:47
Hendrik Hendriawan,"pengembalian dana ribet jika penjual tidak meng konfirmasi pembatalan dana ,harus nunggu batas otomatis yang harus nunggu 2 sampai 3 hari ,padahal dana mau di pakai buat belanja di tempat lain.",1,1,2025-05-30 15:50:26
Wayan Gepa,"banyak promo banyak voucher cuma buat click bait, saat checkout gada voucher yang bisa dipake, pantes kalah sama Shopee",1,0,2025-05-30 15:49:40
Lucky Hakita,semenjak collab sama tiktok jadi bingung ngurusin pesenan. dari aplikasi top seller harus pindah ke top tiktok. dari top tiktok harus pindah lagi ke top seller. ide bodoh bikin begituan.,1,0,2025-05-30 15:41:52
y.1fpv,"kangen aplikasi tokopedia pertama kali rilis dimana tampilan awal diisi dengan iklan yg sesuai minat dan toko yang difollow. saat ini : 1. eror produk tidak ditemukan padahal jelas2 produk ada dan penulisan sudah benar dan sesuai 2. notif pesan selalu ada, tapi dibuka tidak ada pesan baru. jadi bngung saat tanya jawab sama seller 3. pesanan yang sudah selesai masih status ny dalam pengiriman 4. susah dan berbelit utk cancel pesanan dimana terlalu lama proses oleh seller",1,29,2025-05-30 15:41:01
Mojima,update lancar tapi makin lemot,2,0,2025-05-30 15:38:09
EDISUWANTO,👍👍👍👍👍,5,0,2025-05-30 14:41:48
martin jamal Lilo,mantap,5,0,2025-05-30 14:37:08
zainab zainal,Gk dpt voucher,1,1,2025-05-30 14:32:07
Mr. soe,"Ongkir nya mahal bngetಠ_ಠ, respon penjual juga lemot mau batalin pesanan malah suruh nunggu respon",1,0,2025-05-30 14:15:09
AFIQA CANTYA AYU ACHA,simple dan membantu,5,0,2025-05-30 14:07:24
TRISNA KUSUMA WARDANI,"tolong diaktifkan lagi mitra tokopedianya, karena saya masih butuh bukti struk pembayaran yang belum saya ambil dan kirim ke pelanggan. katanya ke tokopedia care, tapi belum memberikan solusi dari masalah saya. terimakasih.",2,0,2025-05-30 14:02:03
Ido muhamad,"Tokopedia jadi ngeselin sekarang ga kaya dulu mulai dari UI nya ga nyaman belum selesai liat gambar produk main ganti aja gambarnya terus diskusi produk apa sudah ga ada, udah ga pake tokopedia card notifikasinya muncul mulu tiap bulan, banyak promo ga bisa digabung, banyak biaya tersembunyi, jangan pake layanan plus ga ada banyak bedanya sama pengguna normal.",1,34,2025-05-30 14:00:59
Nobita roku,"menurut saya paling buruk.. hampir 1 minggu pesanan belum tiba bahkan sudah lewat estimasi.. yang dikirim mahluk hidup, max pengiriman 2 hari.. dengan jarak jkrta ke jwabarat 4jam perjalanan, ini udah hampir 1minggu itu juga belum jelas kapan sampainya.. mau komplain ke kurir gak tertera jelas kurirnya. kompensasi gak ada..",1,7,2025-05-30 14:00:06
Mochamad Dafa AbdulRahman,"udah lama sihh pake Tokopedia, dari barang barang yg beli online baru 2 kali komplain Malasah, terlebihnya di bagian bukti dokumentasinya yg di kasih 5 bukti, kalau mau komplain atau kasih rating menurutku kurang apa lagi kalau butuh video unboxing hanya maks video 30 itu kalau nggak salah cuman di kasih satu doang buat videonya, kalau pake video timestamp justru kurang teliti aja buat videonya menurut saya lebih bagusnya di tambahin durasi videonya, walaupun ada opsi yg lainnya.",3,1,2025-05-30 13:58:01
Moh Kohar,Sekarang tidak ada notifikasi selerr aktif dan opsi untuk menghapus pesan chat sangat menyulitkan dalam orde barang dan chat tidak bisa di hapus membuat aplikasi jadi lemot karena kebanyakan memoritolong di perbaiki,1,10,2025-05-30 13:55:12
Debila damaris,tokonya amanah sangat,5,0,2025-05-30 13:52:01
Bentovandegoes Baliman,mantabz..👍👍👍👍👍,5,0,2025-05-30 13:42:32
Gari Ginanjar,"Tidak rekomendasi menggunakan Tokopedia, penyelesaian masalah berbelit dan tidak memberikan solusi, sangat tidak rekomendasi",1,0,2025-05-30 13:38:28
Obes Geledeg,𝒔𝒂𝒏𝒈𝒂𝒕 𝒎𝒆𝒎𝒃𝒂𝒏𝒕𝒖 𝒔𝒆𝒌𝒂𝒍𝒊 𝒅𝒆𝒏𝒈𝒂𝒏 𝒂𝒅𝒂𝒏𝒚𝒂 𝒂𝒑𝒍𝒊𝒌𝒂𝒔𝒊 𝒕𝒐𝒌𝒐𝒑𝒆𝒅𝒊𝒂 𝒚𝒈 𝒃𝒊𝒔𝒂 𝒃𝒂𝒚𝒂𝒓 𝒑𝒂𝒌𝒂𝒊 𝒑𝒂𝒚𝒍𝒂𝒕𝒆𝒓 𝒔𝒆𝒎𝒖𝒂 𝒃𝒂𝒈𝒖𝒔🙏🙏,5,0,2025-05-30 13:28:22
Galih Purwanti,"Ajuin komplain aja susah banget, upload ga bisa bisa. Tolong diperbaikin jangan persulit",1,0,2025-05-30 13:20:52
Eko Suranto,ok,5,0,2025-05-30 13:17:36
aldi rapd,coba diperbaiki jika pembayaran  credit di cash back,3,0,2025-05-30 12:58:41
Bunga Wahyu permatasari,gatau knp pengiriman lama bangett sumpah,3,0,2025-05-30 12:48:49
Jendral Bintang 3,5 stars,5,0,2025-05-30 12:39:41
Dapur Queenara,"makin kesini makin ga becus, reseller bikin stok ada tau yg dikirim model lain dengan harga dibawah yg dipesan. returnpun dipersulit. komplain sulit.. udah kaya sindikat penipuan kalian ini... semoga cepat bangkrut ya tokopedia.. aminnn",1,0,2025-05-30 12:17:44
Sini Production,"semenjak dibeli tiktok : 1. pick up barang 2 hari/malah nggak di ambil sama ekspedisinya harus kita seller yang drop off. 2. penyelesaian pembayaran yang bertele2, harus nunggu 7 hari kerja pembayaran baru bisa di proses, bahkan harus menunggu lagi 3-5 hari lagi untuk menarik uang ke rekening kita setelah 7 hari tadi. (total 12 hari kerja buat narik uang kita sendiri) gila. 3. beberapa fitur di seller center nggak bisa digunakan. bukannya makin bagus, malah makin bobrok.",1,0,2025-05-30 12:10:02
Roy Bredhy Marpaung,"Mohon untuk Pihak Tokopedia agar meneliti kembali seller yg berjualan tidak sesuai dng produknya karena banyak penipuan seller berjualan dng harga murah indikasi menipu dan mengirimkan barang tdk sesuai dng iklannya. banyak korban dan tolong pihak Tokopedia juga membantu korban korban tsb jng mempersulit ,contoh saya jadi korban penipuan di Toko Ayu Wijaya28 tolong Toko Ayu Wijaya28 langsung di blacklist dan di selidiki untuk alamat jelas tokonya. Terima Kasih",5,0,2025-05-30 12:09:07
Dini Damayanti,mantapp,5,0,2025-05-30 12:02:09
Ketut Raja,"mantep bener ni e commerce banyak bet promo demen bet gua belanja disini,the best lah",5,0,2025-05-30 11:27:06
Bunda Ato,toko pedia. memang Oky,5,0,2025-05-30 11:10:15
PP Al-Qolam,bagus,5,0,2025-05-30 10:59:34
aris riswan,keren,5,0,2025-05-30 10:55:38
