userName,review,score,thumbsUpCount,at,clean_review,content_normalized,content_tokenizing,content_filtering,content_stemming
Rohmatul Ulfa,"anda tidak akan menemukan pelayanan castemer servis manusia di aplikasi ini,,",1,9,2025-05-31 07:20:59,anda tidak akan menemukan pelayanan castemer servis manusia di aplikasi ini,anda tidak akan menemukan pelayanan castemer servis manusia di aplikasi ini,"['anda', 'tidak', 'akan', 'menemukan', 'pelayanan', 'castemer', 'servis', 'manusia', 'di', 'aplikasi', 'ini']",menemukan pelayanan castemer servis manusia aplikasi,temu layan castemer servis manusia aplikasi
Email Pribadi,sekarang tokped kalo dari jam malem sampe pagi ga bisa dibuka produk nya alah,1,1,2025-05-31 05:36:02,sekarang tokped kalo dari  malem sampe pagi ga bisa dibuka produk nya alah,sekarang tokped kalau dari malem sampe pagi tidak bisa dibuka produk nya alah,"['sekarang', 'tokped', 'kalau', 'dari', 'malem', 'sampe', 'pagi', 'tidak', 'bisa', 'dibuka', 'produk', 'nya', 'alah']",tokped malem sampe pagi dibuka produk nya alah,tokped malem sampe pagi buka produk nya alah
Akira Se,"tolong di perhatikan dari pihak ekspedisi nya dong, masa pesanan dari tanggal 26 barang sudah siap dikirimkan dari seller nya sampai tanggal 1 masih saja keterangannya menunggu kurir kapan sampai nya, padahal lagi di butuhkan banget barangnya. mau di batalkan juga udah gak bisa...",1,5,2025-05-31 01:32:53,tolong di perhatikan dari pihak ekspedisi nya dong masa pesanan dari tanggal  barang sudah siap dikirimkan dari seller nya sampai tanggal  masih saja keterangannya menunggu kurir kapan sampai nya padahal lagi di butuhkan banget barangnya mau di batalkan juga udah gak bisa,tolong di perhatikan dari pihak ekspedisi nya dong masa pesanan dari tanggal barang sudah siap dikirimkan dari seller nya sampai tanggal masih saja keterangannya menunggu kurir kapan sampai nya padahal lagi di butuhkan banget barangnya mau di batalkan juga sudah tidak bisa,"['tolong', 'di', 'perhatikan', 'dari', 'pihak', 'ekspedisi', 'nya', 'dong', 'masa', 'pesanan', 'dari', 'tanggal', 'barang', 'sudah', 'siap', 'dikirimkan', 'dari', 'seller', 'nya', 'sampai', 'tanggal', 'masih', 'saja', 'keterangannya', 'menunggu', 'kurir', 'kapan', 'sampai', 'nya', 'padahal', 'lagi', 'di', 'butuhkan', 'banget', 'barangnya', 'mau', 'di', 'batalkan', 'juga', 'sudah', 'tidak', 'bisa']",tolong perhatikan ekspedisi nya pesanan tanggal barang dikirimkan seller nya tanggal keterangannya menunggu kurir nya butuhkan banget barangnya batalkan,tolong perhati ekspedisi nya pesan tanggal barang kirim seller nya tanggal terang tunggu kurir nya butuh banget barang batal
Alfian Wahyu Setiyanto,Terlalu banyak gimmick promo yang ditampilkan Hanya disini pengiriman SAMEDAY bisa memakan waktu 2 hari Namanya juga SAMEDAY berarti BUKAN DIHARI YANG SAMA wakakaka,1,39,2025-05-31 01:17:50,terlalu banyak gimmick promo yang ditampilkan hanya disini pengiriman sameday bisa memakan waktu   namanya juga sameday berarti bukan dihari yang sama wakakaka,terlalu banyak gimmick promo yang ditampilkan hanya disini pengiriman sameday bisa memakan waktu namanya juga sameday berarti bukan dihari yang sama wakakaka,"['terlalu', 'banyak', 'gimmick', 'promo', 'yang', 'ditampilkan', 'hanya', 'disini', 'pengiriman', 'sameday', 'bisa', 'memakan', 'waktu', 'namanya', 'juga', 'sameday', 'berarti', 'bukan', 'dihari', 'yang', 'sama', 'wakakaka']",gimmick promo ditampilkan pengiriman sameday memakan namanya sameday dihari wakakaka,gimmick promo tampil kirim sameday makan nama sameday hari wakakaka
Bayu Rachman,"jangan mau beli disini kalo ada masalah dana gak kembali full, ribet lama gak full lagi duitnya balik, jangan deh",1,1,2025-05-31 01:07:52,jangan mau beli disini kalo ada masalah dana gak kembali full ribet lama gak full lagi duitnya balik jangan deh,jangan mau beli disini kalau ada masalah dana tidak kembali full ribet lama tidak full lagi duitnya balik jangan deh,"['jangan', 'mau', 'beli', 'disini', 'kalau', 'ada', 'masalah', 'dana', 'tidak', 'kembali', 'full', 'ribet', 'lama', 'tidak', 'full', 'lagi', 'duitnya', 'balik', 'jangan', 'deh']",beli dana full ribet full duitnya deh,beli dana full ribet full duit deh
Aryadi Aquatic,tolong dong pembelian obat masak nunggu hari kerja baru di kirim beli obat itu untuk orang sakit butuh secepatnya malah nunggu hari kerja tolong klasifikasi barang mana yg urgensi perlu di kasih attention lebih dan mana yang bisa di pending,1,1,2025-05-31 01:07:01,tolong dong pembelian obat masak nunggu  kerja baru di kirim beli obat itu untuk orang sakit butuh secepatnya malah nunggu  kerja tolong klasifikasi barang mana yg urgensi perlu di kasih attention lebih dan mana yang bisa di pending,tolong dong pembelian obat masak nunggu kerja baru di kirim beli obat itu untuk orang sakit butuh secepatnya malah nunggu kerja tolong klasifikasi barang mana yg urgensi perlu di kasih attention lebih dan mana yang bisa di pending,"['tolong', 'dong', 'pembelian', 'obat', 'masak', 'nunggu', 'kerja', 'baru', 'di', 'kirim', 'beli', 'obat', 'itu', 'untuk', 'orang', 'sakit', 'butuh', 'secepatnya', 'malah', 'nunggu', 'kerja', 'tolong', 'klasifikasi', 'barang', 'mana', 'yg', 'urgensi', 'perlu', 'di', 'kasih', 'attention', 'lebih', 'dan', 'mana', 'yang', 'bisa', 'di', 'pending']",tolong pembelian obat masak nunggu kerja kirim beli obat orang sakit butuh secepatnya nunggu kerja tolong klasifikasi barang yg urgensi kasih attention pending,tolong beli obat masak nunggu kerja kirim beli obat orang sakit butuh cepat nunggu kerja tolong klasifikasi barang yg urgensi kasih attention pending
Di No,Tokopedia TDK bisa masuk weshlist,5,2,2025-05-30 22:58:24,tokopedia tdk bisa masuk weshlist,tokopedia tidak bisa masuk weshlist,"['tokopedia', 'tidak', 'bisa', 'masuk', 'weshlist']",tokopedia masuk weshlist,tokopedia masuk weshlist
rudy setiawan,"saya pengguna aplikasi Mitra Tokopedia sangat kecewa krn aplikasi tersebut sdh tidak bs digunakan lagi dan dialihkan ke tokopodia yg mana aplikasi ini tidak bisa edit harga jualnya, aplikasi dijadikan satu malah gak bisa buat rubah harga, gmn mau jualan pulsa, token, dan tagihan lainnya..",2,14,2025-05-30 22:11:01,saya pengguna aplikasi mitra tokopedia sangat kecewa krn aplikasi tersebut sdh tidak bs digunakan lagi dan dialihkan ke tokopodia yg mana aplikasi ini tidak bisa edit harga jualnya aplikasi dijadikan satu malah gak bisa buat rubah harga gmn mau jualan pulsa token dan tagihan lainnya,saya pengguna aplikasi mitra tokopedia sangat kecewa krn aplikasi tersebut sdh tidak bs digunakan lagi dan dialihkan ke tokopodia yg mana aplikasi ini tidak bisa edit harga jualnya aplikasi dijadikan satu malah tidak bisa buat rubah harga gmn mau jualan pulsa token dan tagihan lainnya,"['saya', 'pengguna', 'aplikasi', 'mitra', 'tokopedia', 'sangat', 'kecewa', 'krn', 'aplikasi', 'tersebut', 'sdh', 'tidak', 'bs', 'digunakan', 'lagi', 'dan', 'dialihkan', 'ke', 'tokopodia', 'yg', 'mana', 'aplikasi', 'ini', 'tidak', 'bisa', 'edit', 'harga', 'jualnya', 'aplikasi', 'dijadikan', 'satu', 'malah', 'tidak', 'bisa', 'buat', 'rubah', 'harga', 'gmn', 'mau', 'jualan', 'pulsa', 'token', 'dan', 'tagihan', 'lainnya']",pengguna aplikasi mitra tokopedia kecewa krn aplikasi sdh bs dialihkan tokopodia yg aplikasi edit harga jualnya aplikasi dijadikan rubah harga gmn jualan pulsa token tagihan,guna aplikasi mitra tokopedia kecewa krn aplikasi sdh bs alih tokopodia yg aplikasi edit harga jual aplikasi jadi rubah harga gmn jual pulsa token tagih
Sedi Pc,payah ribet banget,1,1,2025-05-30 21:53:30,payah ribet banget,payah ribet banget,"['payah', 'ribet', 'banget']",payah ribet banget,payah ribet banget
Sidrav Volton,"Terimakasih solusinya !! penjual mengirim barang 500 rupiah untuk orderan senilai 750 ribuan , indikasi penipuannya jelas. dan setelah sabar dengan prosesnya akhirnya pengembalian dana berhasil. Terimakasih tokopedia, ...",5,36,2025-05-30 21:47:28,terimakasih solusinya  penjual mengirim barang  rupiah untuk orderan senilai  an  indikasi penipuannya jelas dan setelah sabar dengan prosesnya akhirnya pengembalian dana berhasil terimakasih tokopedia,terimakasih solusinya penjual mengirim barang rupiah untuk orderan senilai an indikasi penipuannya jelas dan setelah sabar dengan prosesnya akhirnya pengembalian dana berhasil terimakasih tokopedia,"['terimakasih', 'solusinya', 'penjual', 'mengirim', 'barang', 'rupiah', 'untuk', 'orderan', 'senilai', 'an', 'indikasi', 'penipuannya', 'jelas', 'dan', 'setelah', 'sabar', 'dengan', 'prosesnya', 'akhirnya', 'pengembalian', 'dana', 'berhasil', 'terimakasih', 'tokopedia']",terimakasih solusinya penjual mengirim barang rupiah orderan senilai an indikasi penipuannya sabar prosesnya pengembalian dana berhasil terimakasih tokopedia,terimakasih solusi jual kirim barang rupiah order nila an indikasi tipu sabar proses kembali dana hasil terimakasih tokopedia
Sin_ Tactis,SETIAP UPGRADE BERTAMBAH MEMBINGUNGKAN BAHKAN BERTAMBAH EROR..!! PESAN TELAH DIBACA NOTIFIKASI TIDAK HILANG HILANG + PESAN PEMBELI HILANG + MEMBLOKIR PELAPAK YG TIDAK JELAS BERJUALAN TIDAK BISA LAGE + MEMBATALKAN TRANSAKSI NUNGGU 3X24 JAM + JASA PENGANTAR PAKET TERLAMA MENGANTAR PAKET RECOMENDASI TOKOPEDIA YAITU JASA LION PARCEL & ID EXPRESS..!! INI APLIKASI HANYA MENGUNTUNGKAN DEVLOPER & PELAPAK & SANGAT MERUGIKAN WAKTU PEMBELI..! APLIKASI SAMPAH..!! KELEWAT PINTAR MENCIPTAKAN KEERRORAN..!!,1,376,2025-05-30 19:38:48,setiap upgrade bertambah membingungkan bahkan bertambah eror pesan telah dibaca notifikasi tidak hilang hilang  pesan pembeli hilang  memblokir pelapak yg tidak jelas berjualan tidak bisa lage  membatalkan transaksi nunggu x jam  jasa pengantar paket terlama mengantar paket recomendasi tokopedia yaitu jasa lion parcel  id express ini aplikasi hanya menguntungkan devloper  pelapak  sangat merugikan waktu pembeli aplikasi sampah kelewat pintar menciptakan keerroran,setiap upgrade bertambah membingungkan bahkan bertambah eror pesan telah dibaca notifikasi tidak hilang hilang pesan pembeli hilang memblokir pelapak yg tidak jelas berjualan tidak bisa lage membatalkan transaksi nunggu x jam jasa pengantar paket terlama mengantar paket recomendasi tokopedia yaitu jasa lion parcel id express ini aplikasi hanya menguntungkan devloper pelapak sangat merugikan waktu pembeli aplikasi sampah kelewat pintar menciptakan keerroran,"['setiap', 'upgrade', 'bertambah', 'membingungkan', 'bahkan', 'bertambah', 'eror', 'pesan', 'telah', 'dibaca', 'notifikasi', 'tidak', 'hilang', 'hilang', 'pesan', 'pembeli', 'hilang', 'memblokir', 'pelapak', 'yg', 'tidak', 'jelas', 'berjualan', 'tidak', 'bisa', 'lage', 'membatalkan', 'transaksi', 'nunggu', 'x', 'jam', 'jasa', 'pengantar', 'paket', 'terlama', 'mengantar', 'paket', 'recomendasi', 'tokopedia', 'yaitu', 'jasa', 'lion', 'parcel', 'id', 'express', 'ini', 'aplikasi', 'hanya', 'menguntungkan', 'devloper', 'pelapak', 'sangat', 'merugikan', 'waktu', 'pembeli', 'aplikasi', 'sampah', 'kelewat', 'pintar', 'menciptakan', 'keerroran']",upgrade bertambah membingungkan bertambah eror pesan dibaca notifikasi hilang hilang pesan pembeli hilang memblokir pelapak yg berjualan lage membatalkan transaksi nunggu x jam jasa pengantar paket terlama mengantar paket recomendasi tokopedia jasa lion parcel id express aplikasi menguntungkan devloper pelapak merugikan pembeli aplikasi sampah kelewat pintar menciptakan keerroran,upgrade tambah bingung tambah eror pesan baca notifikasi hilang hilang pesan beli hilang blokir lapak yg jual lage batal transaksi nunggu x jam jasa antar paket lama antar paket recomendasi tokopedia jasa lion parcel id express aplikasi untung devloper lapak rugi beli aplikasi sampah lewat pintar cipta keerroran
Kenzi Alhanafi,tidakkk baguss,1,1,2025-05-30 16:05:18,tidakkk baguss,tidakkk bagus,"['tidakkk', 'bagus']",tidakkk bagus,tidakkk bagus
Hendrik Hendriawan,"pengembalian dana ribet jika penjual tidak meng konfirmasi pembatalan dana ,harus nunggu batas otomatis yang harus nunggu 2 sampai 3 hari ,padahal dana mau di pakai buat belanja di tempat lain.",1,1,2025-05-30 15:50:26,pengembalian dana ribet jika penjual tidak meng konfirmasi pembatalan dana harus nunggu batas otomatis yang harus nunggu  sampai   padahal dana mau di pakai buat belanja di tempat lain,pengembalian dana ribet jika penjual tidak meng konfirmasi pembatalan dana harus nunggu batas otomatis yang harus nunggu sampai padahal dana mau di pakai buat belanja di tempat lain,"['pengembalian', 'dana', 'ribet', 'jika', 'penjual', 'tidak', 'meng', 'konfirmasi', 'pembatalan', 'dana', 'harus', 'nunggu', 'batas', 'otomatis', 'yang', 'harus', 'nunggu', 'sampai', 'padahal', 'dana', 'mau', 'di', 'pakai', 'buat', 'belanja', 'di', 'tempat', 'lain']",pengembalian dana ribet penjual meng konfirmasi pembatalan dana nunggu batas otomatis nunggu dana pakai belanja,kembali dana ribet jual meng konfirmasi batal dana nunggu batas otomatis nunggu dana pakai belanja
